日期,收支类型,分类,金额,备注
2025-11-01,支出,餐饮,28.5,早餐
2025-11-03,支出,交通,12,通勤打车
2025-11-05,收入,工资,6800,月薪
2025-11-08,支出,购物,156,日用品
2025-11-10,支出,水电网,89,月度话费水电
2025-11-12,支出,娱乐,65,观影
2025-11-15,支出,房租,1800,整月房租
2025-11-18,支出,餐饮,46,聚餐
2025-11-22,收入,红包,200,亲友红包
2025-11-25,支出,医疗,32,药品
2025-12-02,支出,交通,18,公交地铁充值
2025-12-04,支出,餐饮,35,外卖
2025-12-06,收入,工资,6800,月薪
2025-12-09,支出,购物,210,衣物
2025-12-11,支出,水电网,92,水电燃气
2025-12-14,支出,娱乐,88,聚会消费
2025-12-16,支出,房租,1800,整月房租
2025-12-20,收入,兼职,500,副业收入
2025-12-23,支出,餐饮,52,夜宵
2026-01-01,收入,红包,300,新年红包
2026-01-03,支出,交通,15,出行打车
2026-01-05,收入,工资,6800,月薪
2026-01-07,支出,购物,320,年货
2026-01-09,支出,水电网,95,冬季水电
2026-01-12,支出,娱乐,120,新年娱乐
2026-01-15,支出,房租,1800,整月房租
2026-01-18,支出,餐饮,68,家庭聚餐
2026-02-04,支出,交通,10,日常通勤
2026-02-06,收入,工资,6800,月薪
2026-02-08,支出,购物,135,生活用品
2026-02-10,支出,水电网,86,话费水电
2026-02-13,支出,娱乐,55,休闲娱乐
2026-02-15,支出,房租,1800,整月房租
2026-02-20,支出,餐饮,42,简餐
2026-03-05,收入,工资,6800,月薪
2026-03-07,支出,交通,22,短途出行
2026-03-10,支出,购物,98,零食百货
2026-03-15,支出,房租,1800,整月房租
2026-04-05,收入,工资,6800,月薪
2026-04-12,支出,医疗,45,体检买药
2026-04-15,支出,房租,1800,整月房租
2026-05-05,收入,工资,6800,月薪
2026-05-15,支出,房租,1800,整月房租
